Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,bid,ask
2012-05-10,27.56,27.56,27.56,27.56,0.0,0.0,1.0,27.56,27.56,27.56,27.56,0.0,0.00 x,0.00 x
2012-05-11,27.56,27.56,27.56,27.56,0.0,0.0,1.0,27.56,27.56,27.56,27.56,0.0,0.00 x,0.00 x
2012-05-14,27.56,27.56,27.56,27.56,0.0,0.0,1.0,27.56,27.56,27.56,27.56,0.0,0.00 x,0.00 x
2012-05-15,27.56,27.56,27.56,27.56,0.0,0.0,1.0,27.56,27.56,27.56,27.56,0.0,0.00 x,0.00 x
2012-05-16,27.56,27.56,27.56,27.56,0.0,0.0,1.0,27.56,27.56,27.56,27.56,0.0,0.00 x,0.00 x
2012-05-17,27.56,27.56,27.56,27.56,0.0,0.0,1.0,27.56,27.56,27.56,27.56,0.0,0.00 x,0.00 x
2012-05-18,25.05,25.05,24.7,24.7,600.0,0.0,1.0,25.05,25.05,24.7,24.7,600.0,0.00 x,0.00 x
2012-05-21,24.7,24.7,24.7,24.7,0.0,0.0,1.0,24.7,24.7,24.7,24.7,0.0,0.00 x,0.00 x
2012-05-22,24.7,24.7,24.7,24.7,0.0,0.0,1.0,24.7,24.7,24.7,24.7,0.0,0.00 x,0.00 x
2012-05-23,24.7,24.7,24.7,24.7,0.0,0.0,1.0,24.7,24.7,24.7,24.7,0.0,0.00 x,0.00 x
2012-05-24,24.7,24.7,24.7,24.7,2000.0,0.0,1.0,24.7,24.7,24.7,24.7,2000.0,0.00 x,0.00 x
2012-05-25,24.7,24.7,24.7,24.7,0.0,0.0,1.0,24.7,24.7,24.7,24.7,0.0,0.00 x,0.00 x
2012-05-29,25.35,25.36,25.3,25.35,2700.0,0.0,1.0,25.35,25.36,25.3,25.35,2700.0,0.00 x,0.00 x
2012-05-30,25.35,25.35,25.35,25.35,0.0,0.0,1.0,25.35,25.35,25.35,25.35,0.0,0.00 x,0.00 x
2012-05-31,25.35,25.35,25.35,25.35,0.0,0.0,1.0,25.35,25.35,25.35,25.35,0.0,0.00 x,0.00 x
2012-06-01,25.35,25.35,25.35,25.35,1500.0,0.0,1.0,25.35,25.35,25.35,25.35,1500.0,0.00 x,0.00 x
2012-06-04,25.35,25.35,25.35,25.35,0.0,0.0,1.0,25.35,25.35,25.35,25.35,0.0,0.00 x,0.00 x
