Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,bid,ask
2016-01-06,22.13,23.5,22.0,23.5,249637.0,0.0,1.0,21.3113090212,22.6306263894,21.186118322,22.6306263894,249637.0,0.00 x,0.00 x
2016-01-07,23.3,23.4,22.25,22.44,478825.0,0.0,1.0,22.4380253138,22.5343258516,21.4268696666,21.6098406885,478825.0,0.00 x,0.00 x
2016-01-08,22.44,23.105,21.88,22.0,223587.0,0.0,1.0,21.6098406885,22.250239265,21.0705576766,21.186118322,223587.0,0.00 x,0.00 x
2016-01-11,22.06,22.2,21.69,21.78,282470.0,0.0,1.0,21.2438986447,21.3787193977,20.8875866548,20.9742571388,282470.0,0.00 x,0.00 x
2016-01-12,21.89,22.03,21.34,21.67,489381.0,0.0,1.0,21.0801877304,21.2150084834,20.5505347724,20.8683265472,489381.0,0.00 x,0.00 x
2016-01-13,21.66,21.88,20.99,21.23,410130.0,0.0,1.0,20.8586964934,21.0705576766,20.21348289,20.4446041808,410130.0,0.00 x,0.00 x
2016-01-14,21.4,21.88,21.11,21.6,546458.0,0.0,1.0,20.6083150951,21.0705576766,20.3290435354,20.8009161707,546458.0,0.00 x,0.00 x
2016-01-15,21.18,21.31,20.5,21.05,430323.0,0.0,1.0,20.3964539118,20.521644611,19.7416102546,20.2712632127,430323.0,0.00 x,0.00 x
2016-01-19,21.26,21.26,20.76,20.93,386600.0,0.0,1.0,20.4734943421,20.4734943421,19.991991653,20.1557025673,386600.0,0.00 x,0.00 x
2016-01-20,20.92,21.03,19.54,20.36,863566.0,0.0,1.0,20.1460725135,20.2520031051,18.8171250915,19.6067895017,863566.0,0.00 x,0.00 x
2016-01-21,20.34,20.48,19.95,20.18,353102.0,0.0,1.0,19.5875293941,19.7223501471,19.2119572966,19.4334485336,353102.0,0.00 x,0.00 x
2016-01-22,20.23,21.67,20.09,21.46,547830.0,0.0,1.0,19.4815988025,20.8683265472,19.3467780495,20.6660954178,547830.0,0.00 x,0.00 x
2016-01-25,21.33,21.8,20.91,20.97,243351.0,0.0,1.0,20.5409047186,20.9935172464,20.1364424597,20.1942227824,243351.0,0.00 x,0.00 x
2016-01-26,21.14,21.99,20.7,21.75,443656.0,0.0,1.0,20.3579336967,21.1764882682,19.9342113303,20.9453669775,443656.0,0.00 x,0.00 x
2016-01-27,21.7,21.91,21.4,21.5,366773.0,0.0,1.0,20.8972167085,21.099447838,20.6083150951,20.7046156329,366773.0,0.00 x,0.00 x
2016-01-28,21.86,21.975,21.21,21.25,391814.0,0.0,1.0,21.0512975691,21.1620431876,20.4253440732,20.4638642883,391814.0,0.00 x,0.00 x
2016-01-29,21.43,21.87,21.34,21.52,847194.0,0.0,1.0,20.6372052564,21.0609276229,20.5505347724,20.7238757405,847194.0,0.00 x,0.00 x
2016-02-01,21.66,21.85,21.37,21.78,810875.0,0.0,1.0,20.8586964934,21.0416675153,20.5794249337,20.9742571388,810875.0,0.00 x,0.00 x
2016-02-02,21.7,21.97,21.47,21.65,505543.0,0.0,1.0,20.8972167085,21.1572281607,20.6757254715,20.8490664396,505543.0,0.00 x,0.00 x
2016-02-03,21.74,22.25,21.42,21.96,700188.0,0.0,1.0,20.9357369237,21.4268696666,20.6275752026,21.1475981069,700188.0,0.00 x,0.00 x
2016-02-04,21.84,22.31,21.84,22.03,2089801.0,0.0,1.0,21.0320374615,21.4846499893,21.0320374615,21.2150084834,2089801.0,0.00 x,0.00 x
2016-02-05,22.02,22.035,21.1,21.24,882558.0,0.0,1.0,21.2053784296,21.2198235103,20.3194134816,20.4542342345,882558.0,0.00 x,0.00 x
2016-02-08,21.24,21.24,19.98,20.6,774771.0,0.0,1.0,20.4542342345,20.4542342345,19.2408474579,19.8379107924,774771.0,0.00 x,0.00 x
2016-02-09,20.37,20.6,20.2,20.33,786664.0,0.0,1.0,19.6164195554,19.8379107924,19.4527086411,19.5778993403,786664.0,0.00 x,0.00 x
2016-02-10,20.4,21.67,20.4,21.02,811517.0,0.0,1.0,19.6453097168,20.8683265472,19.6453097168,20.2423730513,811517.0,0.00 x,0.00 x
