Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,bid,ask
1993-02-02,23.75,25.0,23.5,24.38,3401400.0,0.0,1.0,2.67149109234,2.81209588668,2.64337013348,2.74235590869,6802800.0,0.0000 x,0.0000 x
1993-02-03,24.25,24.75,24.25,24.75,610000.0,0.0,1.0,2.72173736536,2.77785566155,2.72173736536,2.77785566155,1220000.0,0.0000 x,0.0000 x
1993-02-04,25.0,25.25,24.5,24.75,312800.0,0.0,1.0,2.80591480965,2.83397395774,2.74979651346,2.77785566155,625600.0,0.0000 x,0.0000 x
1993-02-05,24.75,25.0,24.0,24.38,253400.0,0.0,1.0,2.78397492781,2.81209588668,2.69961205121,2.74235590869,506800.0,0.0000 x,0.0000 x
1993-02-08,24.38,24.63,24.38,24.63,95700.0,0.0,1.0,2.74198822238,2.77010541088,2.74198822238,2.77010541088,191400.0,0.0000 x,0.0000 x
1993-02-09,24.5,24.75,24.38,24.38,150000.0,0.0,1.0,2.75585396894,2.78397492781,2.74235590869,2.74235590869,300000.0,0.0000 x,0.0000 x
1993-02-10,24.38,24.5,24.38,24.5,142600.0,0.0,1.0,2.73775543051,2.7512308469,2.73775543051,2.7512308469,285200.0,0.0000 x,0.0000 x
1993-02-11,24.5,24.75,24.5,24.75,128400.0,0.0,1.0,2.74979651346,2.77785566155,2.74979651346,2.77785566155,256800.0,0.0000 x,0.0000 x
1993-02-12,24.75,24.75,24.25,24.5,94300.0,0.0,1.0,2.77930463106,2.77930463106,2.72315706275,2.7512308469,188600.0,0.0000 x,0.0000 x
1993-02-16,24.25,24.38,23.75,24.0,250600.0,0.0,1.0,2.72608518863,2.74069925355,2.66987724659,2.69798121761,501200.0,0.0000 x,0.0000 x
1993-02-17,24.0,24.25,24.0,24.0,68900.0,0.0,1.0,2.69798121761,2.72608518863,2.69798121761,2.69798121761,137800.0,0.0000 x,0.0000 x
1993-02-18,24.38,24.38,24.13,24.13,61900.0,0.0,1.0,2.74500514398,2.74500514398,2.71685701904,2.71685701904,123800.0,0.0000 x,0.0000 x
1993-02-19,24.13,24.38,24.13,24.25,76700.0,0.0,1.0,2.71112344571,2.73921216769,2.71112344571,2.72460603226,153400.0,0.0000 x,0.0000 x
1993-02-22,24.25,24.38,24.0,24.25,268100.0,0.0,1.0,2.72460603226,2.73921216769,2.69651731027,2.72460603226,536200.0,0.0000 x,0.0000 x
1993-02-23,24.13,24.5,24.13,24.38,47800.0,0.0,1.0,2.71423494982,2.75585396894,2.71423494982,2.74235590869,95600.0,0.0000 x,0.0000 x
1993-02-24,24.38,24.63,24.25,24.25,17100.0,0.0,1.0,2.73921216769,2.76730088967,2.72460603226,2.72460603226,34200.0,0.0000 x,0.0000 x
1993-02-25,24.38,24.38,24.13,24.13,8000.0,0.0,1.0,2.74500514398,2.74500514398,2.71685701904,2.71685701904,16000.0,0.0000 x,0.0000 x
1993-02-26,24.25,24.63,24.13,24.63,33100.0,0.0,1.0,2.72736728436,2.77010541088,2.71387103388,2.77010541088,66200.0,0.0000 x,0.0000 x
1993-03-01,24.63,24.88,24.38,24.88,11000.0,0.0,1.0,2.76751464632,2.79560553798,2.73942375466,2.79560553798,22000.0,0.0000 x,0.0000 x
1993-03-02,24.88,25.13,24.63,25.0,46400.0,0.0,1.0,2.79985130843,2.82798486257,2.77171775428,2.81335541442,92800.0,0.0000 x,0.0000 x
1993-03-03,25.0,25.38,25.0,25.38,40400.0,0.0,1.0,2.80620091339,2.84885516728,2.80620091339,2.84885516728,80800.0,0.0000 x,0.0000 x
1993-03-04,25.25,25.75,25.25,25.63,63700.0,0.0,1.0,2.84269952122,2.89899060084,2.84269952122,2.88548074173,127400.0,0.0000 x,0.0000 x
1993-03-05,25.63,26.5,25.38,26.5,72300.0,0.0,1.0,2.88408029941,2.98197924052,2.85594841978,2.98197924052,144600.0,0.0000 x,0.0000 x
