Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,bid,ask
2014-09-22,25.95,25.958,25.85,25.86,74040.0,0.0,1.0,25.95,25.958,25.85,25.86,74040.0,0.00 x,0.00 x
2014-09-23,25.85,25.94,25.81,25.94,55292.0,0.0,1.0,25.85,25.94,25.81,25.94,55292.0,0.00 x,0.00 x
2014-09-24,25.85,25.94,25.85,25.92,39787.0,0.0,1.0,25.85,25.94,25.85,25.92,39787.0,0.00 x,0.00 x
2014-09-25,25.84,25.92,25.84,25.9,65702.0,0.0,1.0,25.84,25.92,25.84,25.9,65702.0,0.00 x,0.00 x
2014-09-26,25.52,25.59,25.44,25.59,64993.0,0.0,1.0,25.52,25.59,25.44,25.59,64993.0,0.00 x,0.00 x
2014-09-29,25.55,25.6,25.53,25.57,76492.0,0.0,1.0,25.55,25.6,25.53,25.57,76492.0,0.00 x,0.00 x
2014-09-30,25.58,25.74,25.56,25.56,60238.0,0.0,1.0,25.58,25.74,25.56,25.56,60238.0,0.00 x,0.00 x
2014-10-01,25.6,25.7,25.59,25.61,50906.0,0.0,1.0,25.6,25.7,25.59,25.61,50906.0,0.00 x,0.00 x
2014-10-02,25.67,25.68,25.5701,25.59,71930.0,0.0,1.0,25.67,25.68,25.5701,25.59,71930.0,0.00 x,0.00 x
2014-10-03,25.68,25.68,25.58,25.58,45995.0,0.0,1.0,25.68,25.68,25.58,25.58,45995.0,0.00 x,0.00 x
2014-10-06,25.62,25.646,25.59,25.59,53884.0,0.0,1.0,25.62,25.646,25.59,25.59,53884.0,0.00 x,0.00 x
2014-10-07,25.65,25.65,25.59,25.59,57314.0,0.0,1.0,25.65,25.65,25.59,25.59,57314.0,0.00 x,0.00 x
2014-10-08,25.62,25.65,25.59,25.65,36347.0,0.0,1.0,25.62,25.65,25.59,25.65,36347.0,0.00 x,0.00 x
2014-10-09,25.65,25.67,25.6,25.6,36312.0,0.0,1.0,25.65,25.67,25.6,25.6,36312.0,0.00 x,0.00 x
2014-10-10,25.63,25.63,25.56,25.6,20179.0,0.0,1.0,25.63,25.63,25.56,25.6,20179.0,0.00 x,0.00 x
2014-10-13,25.58,25.65,25.58,25.6,31432.0,0.0,1.0,25.58,25.65,25.58,25.6,31432.0,0.00 x,0.00 x
2014-10-14,25.62,25.69,25.57,25.6,75230.0,0.0,1.0,25.62,25.69,25.57,25.6,75230.0,0.00 x,0.00 x
