Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,bid,ask
2011-04-15,12.0,12.53,12.0,12.25,5296500.0,0.0,1.0,8.03487876721,8.38975257943,8.03487876721,8.20227207486,5296500.0,0.00 x 50000,0.00 x 50000
2011-04-18,12.1,12.5,12.05,12.15,630500.0,0.0,1.0,8.10183609027,8.36966538251,8.06835742874,8.1353147518,630500.0,0.00 x 50000,0.00 x 50000
2011-04-19,12.08,12.19,12.06,12.18,225400.0,0.0,1.0,8.08844462566,8.16209768103,8.07505316105,8.15540194872,225400.0,0.00 x 50000,0.00 x 50000
2011-04-20,12.26,12.26,12.1,12.21,456000.0,0.0,1.0,8.20896780717,8.20896780717,8.10183609027,8.17548914564,456000.0,0.00 x 50000,0.00 x 50000
2011-04-21,12.17,12.29,12.05,12.14,251500.0,0.0,1.0,8.14870621642,8.22905500409,8.06835742874,8.1286190195,251500.0,0.00 x 50000,0.00 x 50000
2011-04-25,12.06,12.2,10.52,12.0,522400.0,0.0,1.0,8.07505316105,8.16879341333,7.04391038592,8.03487876721,522400.0,0.00 x 50000,0.00 x 50000
2011-04-26,12.03,12.59,12.0,12.52,554000.0,0.0,1.0,8.05496596413,8.42992697327,8.03487876721,8.38305684713,554000.0,0.00 x 50000,0.00 x 50000
2011-04-27,12.45,12.63,12.45,12.62,260900.0,0.0,1.0,8.33618672098,8.45670990249,8.33618672098,8.45001417019,260900.0,0.00 x 50000,0.00 x 50000
2011-04-28,12.6,12.62,12.5,12.55,187100.0,0.0,1.0,8.43662270557,8.45001417019,8.36966538251,8.40314404404,187100.0,0.00 x 50000,0.00 x 50000
2011-04-29,12.6,12.78,12.55,12.7,202000.0,0.0,1.0,8.43662270557,8.55714588708,8.40314404404,8.50358002863,202000.0,0.00 x 50000,0.00 x 50000
2011-05-02,12.81,12.96,12.65,12.91,427000.0,0.0,1.0,8.577233084,8.67766906859,8.4701013671,8.64419040706,427000.0,0.00 x 50000,0.00 x 50000
2011-05-03,12.97,12.98,12.78,12.86,285000.0,0.0,1.0,8.6843648009,8.6910605332,8.55714588708,8.61071174553,285000.0,0.00 x 50000,0.00 x 50000
