Date,High,Low,Last,Previous Day Price,Volume,bid,ask
2014-03-21,33.855,33.855,33.855,32.885,,73.04,73.13
2014-03-24,33.89,33.89,33.89,33.855,,73.04,73.13
2014-03-25,33.735,33.64,33.65,33.89,,73.04,73.13
2014-03-26,33.815,33.815,33.815,33.65,,73.04,73.13
2014-03-27,33.525,33.525,33.525,33.815,,73.04,73.13
2014-03-28,33.53,33.53,33.53,33.525,,73.04,73.13
2014-03-31,33.985,33.91,33.91,33.53,,73.04,73.13
2014-04-01,34.23,34.23,34.23,33.91,,73.04,73.13
2014-04-02,34.42,34.42,34.42,34.23,,73.04,73.13
2014-04-03,34.54,34.54,34.54,34.42,,73.04,73.13
2014-04-04,34.79,34.79,34.79,34.54,,73.04,73.13
2014-04-07,33.71,33.69,33.69,34.79,,73.04,73.13
2014-04-08,33.665,33.665,33.665,33.69,,73.04,73.13
2014-04-09,33.86,33.86,33.86,33.665,,73.04,73.13
2014-04-10,34.18,34.09,34.14,33.86,,73.04,73.13
2014-04-11,32.66,32.66,32.66,34.14,,73.04,73.13
2014-04-14,32.385,32.385,32.385,32.66,,73.04,73.13
2014-04-15,32.77,32.77,32.77,32.385,,73.04,73.13
2014-04-16,33.2,33.2,33.2,32.77,,73.04,73.13
2014-04-17,32.495,32.39,32.495,33.2,,73.04,73.13
2014-04-22,33.36,33.36,33.36,32.495,,73.04,73.13
2014-04-23,33.685,33.685,33.685,33.36,,73.04,73.13
2014-04-24,34.92,34.3,34.92,33.685,,73.04,73.13
2014-04-25,34.995,34.995,34.995,34.92,,73.04,73.13
2014-04-28,33.25,33.25,33.25,34.995,,73.04,73.13
2014-04-29,32.775,32.775,32.775,33.25,,73.04,73.13
2014-04-30,33.16,33.16,33.16,32.775,,73.04,73.13
2014-05-02,32.515,32.515,32.515,33.16,,73.04,73.13
2014-05-05,32.945,32.765,32.765,32.515,,73.04,73.13
2014-05-06,32.78,32.66,32.66,32.765,,73.04,73.13
2014-05-07,32.525,32.525,32.525,32.66,,73.04,73.13
2014-05-08,32.7,32.7,32.7,32.525,,73.04,73.13
2014-05-09,33.26,33.26,33.26,32.7,,73.04,73.13
2014-05-12,33.32,33.32,33.32,33.26,,73.04,73.13
2014-05-13,34.105,34.1,34.1,33.32,,73.04,73.13
2014-05-14,33.635,33.235,33.235,34.1,,73.04,73.13
2014-05-15,33.215,33.215,33.215,33.235,,73.04,73.13
2014-05-16,32.98,32.695,32.98,33.215,,73.04,73.13
2014-05-19,32.745,32.74,32.74,32.98,,73.04,73.13
2014-05-21,33.185,33.185,33.185,33.205,,73.04,73.13
2014-05-22,33.43,33.43,33.43,33.185,,73.04,73.13
2014-05-23,33.785,33.785,33.785,33.43,,73.04,73.13
2014-05-26,33.93,33.93,33.93,33.785,,73.04,73.13
2014-05-27,33.935,33.935,33.935,33.93,,73.04,73.13
2014-05-28,33.99,33.99,33.99,33.935,,73.04,73.13
2014-05-29,34.16,34.16,34.16,33.99,,73.04,73.13
2014-05-30,34.215,34.215,34.215,34.16,,73.04,73.13
2014-06-02,34.44,34.44,34.44,34.215,,73.04,73.13
2014-06-03,34.47,34.47,34.47,34.44,,73.04,73.13
2014-06-04,34.43,34.43,34.43,34.47,,73.04,73.13
2014-06-05,34.45,34.39,34.45,34.43,,73.04,73.13
2014-06-06,34.695,34.695,34.695,34.45,,73.04,73.13
2014-06-09,35.045,34.74,35.045,34.695,,73.04,73.13
2014-06-10,35.145,35.145,35.145,35.045,,73.04,73.13
2014-06-11,35.35,35.35,35.35,35.145,,73.04,73.13
2014-06-12,35.5,35.495,35.5,35.35,,73.04,73.13
2014-06-13,35.645,35.35,35.645,35.5,,73.04,73.13
2014-06-16,35.56,35.56,35.56,35.645,,73.04,73.13
2014-06-17,35.31,35.31,35.31,35.56,,73.04,73.13
2014-06-18,35.62,35.62,35.62,35.31,,73.04,73.13
2014-06-19,35.2,35.2,35.2,35.62,,73.04,73.13
2014-06-20,34.88,34.815,34.88,35.2,,73.04,73.13
2014-06-24,35.29,35.29,35.29,35.26,,73.04,73.13
2014-06-25,34.98,34.98,34.98,35.29,,73.04,73.13
2014-07-10,36.045,36.045,36.045,35.845,,73.04,73.13
2014-07-11,35.99,35.99,35.99,36.045,,73.04,73.13
2014-07-14,36.245,36.245,36.245,35.99,,73.04,73.13
2014-07-16,35.84,35.84,35.84,35.89,,73.04,73.13
2014-07-17,36.155,36.155,36.155,35.84,,73.04,73.13
2014-07-18,35.54,35.54,35.54,36.155,,73.04,73.13
2014-07-21,36.21,35.985,36.21,35.54,,73.04,73.13
2014-07-22,36.375,36.21,36.375,36.21,,73.04,73.13
2014-07-25,35.6,35.265,35.265,35.74,,73.04,73.13
2014-07-28,34.875,34.675,34.875,35.265,,73.04,73.13
2014-07-29,35.08,35.08,35.08,34.875,,73.04,73.13
2014-07-30,34.885,34.885,34.885,35.08,,73.04,73.13
2014-07-31,35.165,35.165,35.165,34.885,,73.04,73.13
2014-08-01,34.585,34.585,34.585,35.165,,73.04,73.13
2014-08-04,34.52,34.52,34.52,34.585,,73.04,73.13
2014-08-05,34.645,34.29,34.645,34.52,,73.04,73.13
