DATE,RATE,bid,ask
2000-01-01,102.254548,0.009,0.009
2000-01-02,102.254548,0.009,0.009
2000-01-03,101.697917,0.009,0.009
2000-01-04,103.030563,0.009,0.009
2000-01-05,103.911801,0.009,0.009
2000-01-06,105.083968,0.009,0.009
2000-01-07,105.163441,0.009,0.009
2000-01-08,105.128744,0.009,0.009
2000-01-09,105.128744,0.009,0.009
2000-01-10,105.073585,0.009,0.009
2000-01-11,106.043898,0.009,0.009
2000-01-12,105.854072,0.009,0.009
2000-01-13,106.069147,0.009,0.009
2000-01-14,105.73317,0.009,0.009
2000-01-15,105.690306,0.009,0.009
2000-01-16,105.690306,0.009,0.009
2000-01-17,104.997031,0.009,0.009
2000-01-18,105.54081,0.009,0.009
2000-01-19,105.556114,0.009,0.009
2000-01-20,105.400786,0.009,0.009
2000-01-21,104.733798,0.009,0.009
2000-01-22,104.668997,0.009,0.009
2000-01-23,104.668997,0.009,0.009
2000-01-24,105.464458,0.009,0.009
2000-01-25,105.783594,0.009,0.009
2000-01-26,105.79562,0.009,0.009
2000-01-27,105.229118,0.009,0.009
2000-01-28,106.421929,0.009,0.009
2000-01-29,106.146528,0.009,0.009
2000-01-30,106.146528,0.009,0.009
2000-01-31,107.196386,0.009,0.009
2000-02-01,107.74905,0.009,0.009
2000-02-02,108.406725,0.009,0.009
2000-02-03,108.07279,0.009,0.009
2000-02-04,107.532583,0.009,0.009
2000-02-05,107.532158,0.009,0.009
2000-02-06,107.532158,0.009,0.009
2000-02-07,108.69269,0.009,0.009
2000-02-08,109.236319,0.009,0.009
2000-02-09,109.018381,0.009,0.009
2000-02-10,108.730094,0.009,0.009
2000-02-11,109.181956,0.009,0.009
2000-02-12,109.266761,0.009,0.009
2000-02-13,109.266761,0.009,0.009
2000-02-14,108.570589,0.009,0.009
2000-02-15,108.925308,0.009,0.009
2000-02-16,109.289347,0.009,0.009
2000-02-17,110.357144,0.009,0.009
2000-02-18,110.901685,0.009,0.009
2000-02-19,110.92151,0.009,0.009
2000-02-20,110.92151,0.009,0.009
2000-02-21,111.275583,0.009,0.009
2000-02-22,110.855032,0.009,0.009
2000-02-23,111.183472,0.009,0.009
2000-02-24,110.893487,0.009,0.009
2000-02-25,110.668332,0.009,0.009
2000-02-26,110.680186,0.009,0.009
2000-02-27,110.680186,0.009,0.009
2000-02-28,109.218912,0.009,0.009
2000-02-29,109.999535,0.009,0.009
2000-03-01,107.52638,0.009,0.009
2000-03-02,107.511215,0.009,0.009
2000-03-03,107.842209,0.009,0.009
2000-03-04,107.861232,0.009,0.009
2000-03-05,107.861232,0.009,0.009
2000-03-06,107.51112,0.009,0.009
2000-03-07,106.620873,0.009,0.009
2000-03-08,107.039343,0.009,0.009
2000-03-09,106.508577,0.009,0.009
2000-03-10,106.291434,0.009,0.009
2000-03-11,106.328552,0.009,0.009
2000-03-12,106.328552,0.009,0.009
2000-03-13,105.383902,0.009,0.009
2000-03-14,104.949067,0.009,0.009
2000-03-15,105.538142,0.009,0.009
2000-03-16,105.473776,0.009,0.009
2000-03-17,106.162711,0.009,0.009
2000-03-18,106.081275,0.009,0.009
2000-03-19,106.081275,0.009,0.009
2000-03-20,106.530039,0.009,0.009
2000-03-21,106.847284,0.009,0.009
2000-03-22,106.947147,0.009,0.009
2000-03-23,107.45981,0.009,0.009
2000-03-24,107.124645,0.009,0.009
2000-03-25,107.104986,0.009,0.009
2000-03-26,107.104986,0.009,0.009
2000-03-27,106.889901,0.009,0.009
2000-03-28,106.051492,0.009,0.009
