Date,High,Low,Last,Previous Day Price,Volume,bid,ask
2014-03-21,4.345,4.345,4.345,4.354,,0.00 x,0.00 x
2014-03-24,4.473,4.473,4.473,4.345,,0.00 x,0.00 x
2014-03-25,4.609,4.609,4.609,4.473,,0.00 x,0.00 x
2014-03-26,4.61,4.496,4.61,4.609,,0.00 x,0.00 x
2014-03-27,4.562,4.562,4.562,4.61,,0.00 x,0.00 x
2014-03-28,4.616,4.616,4.616,4.562,,0.00 x,0.00 x
2014-03-31,4.594,4.594,4.594,4.616,,0.00 x,0.00 x
2014-04-01,4.732,4.732,4.732,4.594,,0.00 x,0.00 x
2014-04-02,4.992,4.992,4.992,4.732,,0.00 x,0.00 x
2014-04-03,5.019,5.019,5.019,4.992,,0.00 x,0.00 x
2014-04-04,5.029,5.029,5.029,5.019,,0.00 x,0.00 x
2014-04-07,5.065,5.065,5.065,5.029,,0.00 x,0.00 x
2014-04-09,5.198,5.198,5.198,5.09,,0.00 x,0.00 x
2014-04-11,5.188,5.188,5.188,5.141,,0.00 x,0.00 x
2014-04-14,5.296,5.296,5.296,5.188,,0.00 x,0.00 x
2014-04-16,5.207,5.207,5.207,5.212,,0.00 x,0.00 x
2014-04-17,5.182,5.182,5.182,5.207,,0.00 x,0.00 x
2014-04-22,5.178,5.178,5.178,5.182,,0.00 x,0.00 x
2014-04-23,5.114,5.114,5.114,5.178,,0.00 x,0.00 x
2014-04-24,4.999,4.999,4.999,5.114,,0.00 x,0.00 x
2014-04-25,4.99,4.99,4.99,4.999,,0.00 x,0.00 x
2014-04-28,4.965,4.965,4.965,4.99,,0.00 x,0.00 x
2014-04-29,4.936,4.936,4.936,4.965,,0.00 x,0.00 x
2014-04-30,4.992,4.992,4.992,4.936,,0.00 x,0.00 x
2014-05-02,4.985,4.985,4.985,4.992,,0.00 x,0.00 x
2014-05-05,4.81,4.81,4.81,4.985,,0.00 x,0.00 x
2014-05-06,4.841,4.841,4.841,4.81,,0.00 x,0.00 x
2014-05-07,4.657,4.657,4.657,4.841,,0.00 x,0.00 x
2014-05-09,4.683,4.683,4.683,4.651,,0.00 x,0.00 x
2014-05-12,4.872,4.872,4.872,4.683,,0.00 x,0.00 x
2014-05-13,4.914,4.914,4.914,4.872,,0.00 x,0.00 x
2014-05-15,5.042,5.042,5.042,5.062,,0.00 x,0.00 x
2014-05-16,5.098,5.098,5.098,5.042,,0.00 x,0.00 x
2014-05-20,5.028,5.028,5.028,5.098,,0.00 x,0.00 x
2014-05-21,4.967,4.967,4.967,5.028,,0.00 x,0.00 x
2014-05-22,5.125,5.125,5.125,4.967,,0.00 x,0.00 x
2014-05-23,5.277,5.277,5.277,5.125,,0.00 x,0.00 x
2014-05-26,5.152,5.152,5.152,5.277,,0.00 x,0.00 x
2014-05-28,5.022,5.022,5.022,4.911,,0.00 x,0.00 x
2014-05-29,5.038,5.038,5.038,5.006,,0.00 x,0.00 x
2014-05-30,5.124,5.104,5.124,5.038,,0.00 x,0.00 x
2014-06-02,5.12,5.12,5.12,5.124,,0.00 x,0.00 x
2014-06-04,5.039,5.039,5.039,5.176,,0.00 x,0.00 x
2014-06-05,5.144,5.144,5.144,5.039,,0.00 x,0.00 x
